dataset,result,module,count,total_amount,avg_amount
capacitor_done,Remote Capacitor Transfer,Large Remote Capacitor Transmitter II,81,7941,98.03703703703704
damage_done,Hits,Domination Medium Proton Smartbomb,50,2230,44.6
damage_received,Hits,Domination Medium Proton Smartbomb,165,6579,39.872727272727275
propulsion_jam_attempts,Attempt,,5,,
repairs_done,,Large Remote Shield Booster II,72,41602,577.8055555555555
repairs_done,,Pithum A-Type Medium Remote Shield Booster,97,46936,483.87628865979383
