timestamp,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,attempt_type,module,module_tech_level,module_meta_level,module_meta_group,result,origin_count,origin_log_files,origin_line_numbers,Log_file_original_line
2026.01.15 23:51:46,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Berserk Horse,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Elya Aylet,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,5,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt,3822;966;2239;6150;1525,[ 2026.01.15 23:51:46 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Berserk Horse] - to Sleipnir [ECHO.] [INOU] [Elya Aylet] -
2026.01.15 23:51:46,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Cryo Jolton,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Elya Aylet,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,5,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt,3821;965;2238;6149;1524,[ 2026.01.15 23:51:46 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Cryo Jolton] - to Sleipnir [ECHO.] [INOU] [Elya Aylet] -
2026.01.15 23:51:42,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Nate Titain,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Elya Aylet,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,5,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt,3811;953;2235;6143;1518,[ 2026.01.15 23:51:42 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Nate Titain] - to Sleipnir [ECHO.] [INOU] [Elya Aylet] -
2026.01.15 23:51:43,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Roman Furrer,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Elya Aylet,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,5,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt,3813;956;2236;6145;1520,[ 2026.01.15 23:51:43 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Roman Furrer] - to Sleipnir [ECHO.] [INOU] [Elya Aylet] -
2026.01.15 23:51:45,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Tinker Blightsteel,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Elya Aylet,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,5,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt,3819;963;2237;6148;1522,[ 2026.01.15 23:51:45 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Tinker Blightsteel] - to Sleipnir [ECHO.] [INOU] [Elya Aylet] -
