alliance,corp,pilot_count,pilots
ECHO.,INOU,6,'Packrat' Mobile Tractor Unit;0wnda;Andre Skywalker;Interdiction Probe;Ownda;Owndaworld
UNKNOWN,UNKNOWN,10,Arithmos Tyrannos;Awakened Sentinel;Awakened Warden;Decloaked Transmission Relay;Emergent Sentinel;Emergent Warden;Orthrus;Sleepless Keeper;Sleepless Warden;Upgraded Avenger
