pilot,alliance,corp,ship_type,ship_class,ship_tech,hull_rarity,first_seen,last_seen,duration_s,seen_events_count
'Packrat' Mobile Tractor Unit,ECHO.,INOU,'Packrat' Mobile Tractor Unit,Mobile Tractor Unit,T1,Tech I,15-01-2026 21:07:58,15-01-2026 21:16:29,511,98
0wnda,ECHO.,INOU,Sabre,Interdictor,T2,Tech II,15-01-2026 21:02:56,15-01-2026 21:02:57,1,2
Andre Skywalker,ECHO.,INOU,Naglfar Fleet Issue,Dreadnought,T1,Faction,15-01-2026 21:20:20,15-01-2026 21:30:36,616,80
Interdiction Probe,ECHO.,INOU,Warp Disrupt Probe,Interdiction Probe,T1,Tech I,15-01-2026 20:38:22,15-01-2026 21:30:22,3120,14
Ownda,ECHO.,INOU,Revelation Navy Issue,Dreadnought,T1,Faction,15-01-2026 20:29:17,15-01-2026 21:30:36,3679,3117
Owndaworld,ECHO.,INOU,Naglfar Fleet Issue,Dreadnought,T1,Faction,15-01-2026 20:29:23,15-01-2026 21:16:29,2826,2423
