pilot,ship_type,ship_class,ship_tech,hull_rarity,first_seen,last_seen,duration_s,seen_events_count
JiJ Hinken,Rook,Combat Recon Ship,T2,Tech II,15-01-2026 23:39:14,15-01-2026 23:45:26,372,409
JiJ Hinken,Bifrost,Command Destroyer,T2,Tech II,15-01-2026 23:48:48,15-01-2026 23:53:12,264,9
