dataset,result,module,count,total_amount,avg_amount
damage_done,Hits,Domination Medium Proton Smartbomb,48,1428,29.75
damage_received,Hits,Domination Medium Proton Smartbomb,165,6452,39.1030303030303
propulsion_jam_attempts,Attempt,,1,,
repairs_done,,Pithum A-Type Medium Remote Shield Booster,6,3048,508.0
