timestamp,channel,log_listener,text,Log_file_original_line,Log_file_line_number,log_file
2026.01.15 21:20:56,combat,Ownda,3743 from Upgraded Avenger - Smashes,[ 2026.01.15 21:20:56 ] (combat) 3743 from Upgraded Avenger - Smashes,3991,20260115_202337_2059311182.txt
2026.01.15 21:20:56,combat,Ownda,1874 from Upgraded Avenger - Glances Off,[ 2026.01.15 21:20:56 ] (combat) 1874 from Upgraded Avenger - Glances Off,3992,20260115_202337_2059311182.txt
2026.01.15 21:20:56,combat,Ownda,2986 from Upgraded Avenger - Penetrates,[ 2026.01.15 21:20:56 ] (combat) 2986 from Upgraded Avenger - Penetrates,3993,20260115_202337_2059311182.txt
2026.01.15 21:20:56,combat,Ownda,66 from Emergent Sentinel - Penetrates,[ 2026.01.15 21:20:56 ] (combat) 66 from Emergent Sentinel - Penetrates,3994,20260115_202337_2059311182.txt
2026.01.15 21:20:58,combat,Ownda,83 from Emergent Sentinel - Smashes,[ 2026.01.15 21:20:58 ] (combat) 83 from Emergent Sentinel - Smashes,3995,20260115_202337_2059311182.txt
2026.01.15 21:20:59,combat,Ownda,62 from Emergent Sentinel - Hits,[ 2026.01.15 21:20:59 ] (combat) 62 from Emergent Sentinel - Hits,3996,20260115_202337_2059311182.txt
2026.01.15 21:20:59,combat,Ownda,51 from Emergent Sentinel - Hits,[ 2026.01.15 21:20:59 ] (combat) 51 from Emergent Sentinel - Hits,3997,20260115_202337_2059311182.txt
2026.01.15 21:21:01,combat,Ownda,82 from Emergent Sentinel - Smashes,[ 2026.01.15 21:21:01 ] (combat) 82 from Emergent Sentinel - Smashes,3998,20260115_202337_2059311182.txt
2026.01.15 21:21:01,combat,Ownda,3733 from Upgraded Avenger - Smashes,[ 2026.01.15 21:21:01 ] (combat) 3733 from Upgraded Avenger - Smashes,4005,20260115_202337_2059311182.txt
2026.01.15 21:21:01,combat,Ownda,3240 from Upgraded Avenger - Penetrates,[ 2026.01.15 21:21:01 ] (combat) 3240 from Upgraded Avenger - Penetrates,4006,20260115_202337_2059311182.txt
2026.01.15 21:21:01,combat,Ownda,2527 from Upgraded Avenger - Hits,[ 2026.01.15 21:21:01 ] (combat) 2527 from Upgraded Avenger - Hits,4007,20260115_202337_2059311182.txt
2026.01.15 21:21:03,combat,Ownda,44 from Emergent Sentinel - Glances Off,[ 2026.01.15 21:21:03 ] (combat) 44 from Emergent Sentinel - Glances Off,4020,20260115_202337_2059311182.txt
2026.01.15 21:21:04,combat,Ownda,1837 from Orthrus - Smashes,[ 2026.01.15 21:21:04 ] (combat) 1837 from Orthrus - Smashes,4021,20260115_202337_2059311182.txt
