timestamp,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,attempt_type,module,module_tech_level,module_meta_level,module_meta_group,result,origin_count,origin_log_files,origin_line_numbers,Log_file_original_line
2026.01.15 23:43:40,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Nate Titain,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Ampika Zarelli,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3286;404;868;5426;771;328,[ 2026.01.15 23:43:40 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Nate Titain] - to Loki [ECHO.] [INOU] [Ampika Zarelli] -
2026.01.15 23:51:42,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Nate Titain,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Elya Aylet,Sleipnir,Command Ship,T2,Tech II,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,5,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt,3811;953;2235;6143;1518,[ 2026.01.15 23:51:42 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Nate Titain] - to Sleipnir [ECHO.] [INOU] [Elya Aylet] -
2026.01.15 23:45:48,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Nate Titain,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3446;566;969;5576;899;471,[ 2026.01.15 23:45:48 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Nate Titain] - to Cenotaph [ECHO.] [INOU] [Tan mie] -
2026.01.15 23:49:22,Outalized,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Nate Titain,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Tan mie,Cenotaph,Combat Battlecruiser,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_225941_548047231.txt,1166,[ 2026.01.15 23:49:22 ] (combat) Warp scramble attempt from Nate Titain [NV][NVACA] Sacrilege to Tan mie [ECHO.][INOU] Cenotaph
2026.01.15 23:40:28,Owndaworld,fight_002_15jan2026_23-38_TO_15jan2026_23-56,Nate Titain,Sacrilege,Heavy Assault Cruiser,T2,Tech II,NV,NVACA,player,Zula Rage,Loki,Strategic Cruiser,T3,Tech III,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202340_94865292.txt;20260115_230059_1146915702.txt;20260115_202337_2059311182.txt;20260115_225541_1797692549.txt;20260115_225941_548047231.txt,3008;207;267;5166;216;62,[ 2026.01.15 23:40:28 ] (combat) Warp scramble attempt from Sacrilege [NV] [NVACA] [Nate Titain] - to Loki [ECHO.] [INOU] [Zula Rage] -
